fish_ID,waterbody,TL_mm,phenotype,sex,genotype,d18O,Sr,lifeyear,s_index
BH-91585,Tributary,815,FW_resident,f,1,,3.08555555555556,6,0.226956965533414
BH-91588,Tributary,615,FW_resident,m,2,-8.82307306946231,0.973111111111111,1,0.355428600410395
BH-91588,Tributary,615,FW_resident,m,2,-8.83206697533772,0.881846153846154,1,0.355428600410395
BH-91588,Tributary,615,FW_resident,m,2,-9.42442007170852,0.844854700854701,1,0.355428600410395
BH-91588,Tributary,615,FW_resident,m,2,-9.54409762848044,0.832692307692308,1,0.355428600410395
BH-91588,Tributary,615,FW_resident,m,2,-9.87940520874316,0.824786324786325,1,0.355428600410395
BH-91588,Tributary,615,FW_resident,m,2,-10.4183231430184,0.862393162393162,1,0.355428600410395
BH-91588,Tributary,615,FW_resident,m,2,-10.6082160242719,0.855623931623932,1,0.355428600410395
BH-91588,Tributary,615,FW_resident,m,2,-10.9236822702324,0.853675213675214,1,0.355428600410395
BH-91588,Tributary,615,FW_resident,m,2,-10.8799984628906,0.873367521367521,1,0.355428600410395
BH-91588,Tributary,615,FW_resident,m,2,-10.3167993237392,0.850649572649573,1,0.355428600410395
BH-91588,Tributary,615,FW_resident,m,2,-10.1654283873353,1.08671794871795,1,0.355428600410395
BH-91588,Tributary,615,FW_resident,m,2,-9.84495946392801,1.31632478632479,1,0.355428600410395
BH-91588,Tributary,615,FW_resident,m,2,-8.78628293182135,1.1651282051282,1,0.355428600410395
BH-91588,Tributary,615,FW_resident,m,2,-7.89797975205899,1.07277777777778,1,0.355428600410395
BH-91588,Tributary,615,FW_resident,m,2,-7.26454906349122,1.08390598290598,1,0.355428600410395
BH-91588,Tributary,615,FW_resident,m,2,-7.13508132866548,1.05741025641026,1,0.355428600410395
BH-91588,Tributary,615,FW_resident,m,2,-7.05313170910673,1.40355555555556,1,0.355428600410395
BH-91588,Tributary,615,FW_resident,m,2,-7.03950202045733,1.76641025641026,1,0.355428600410395
BH-91588,Tributary,615,FW_resident,m,2,-6.57075965396197,1.57102564102564,1,0.355428600410395
BH-91588,Tributary,615,FW_resident,m,2,-6.72734292122086,1.53034188034188,2,0.355428600410395
BH-91588,Tributary,615,FW_resident,m,2,-6.82992684988188,1.65948717948718,2,0.355428600410395
BH-91588,Tributary,615,FW_resident,m,2,-6.77885207620466,1.50649572649573,2,0.355428600410395
BH-91588,Tributary,615,FW_resident,m,2,-6.07085537679347,1.45282051282051,2,0.355428600410395
BH-91588,Tributary,615,FW_resident,m,2,-5.15707586459178,1.37435897435897,2,0.355428600410395
BH-91588,Tributary,615,FW_resident,m,2,-4.77203263116203,1.79401709401709,2,0.355428600410395
BH-91588,Tributary,615,FW_resident,m,2,-5.19069810820279,1.87316239316239,2,0.355428600410395
BH-91588,Tributary,615,FW_resident,m,2,-5.71456828605065,1.84888888888889,2,0.355428600410395
BH-91588,Tributary,615,FW_resident,m,2,-6.08784321619217,2.15478632478633,2,0.355428600410395
BH-91588,Tributary,615,FW_resident,m,2,-6.04745092724795,2.31888888888889,2,0.355428600410395
BH-91588,Tributary,615,FW_resident,m,2,-6.17459055298694,2.3208547008547,2,0.355428600410395
BH-91588,Tributary,615,FW_resident,m,2,-7.20634466465591,2.07632478632479,3,0.355428600410395
BH-91588,Tributary,615,FW_resident,m,2,-7.84000301925039,2.27316239316239,3,0.355428600410395
BH-91588,Tributary,615,FW_resident,m,2,-7.93695637942369,2.12837606837607,3,0.355428600410395
BH-91588,Tributary,615,FW_resident,m,2,-7.42081886074197,2.63410256410257,3,0.355428600410395
BH-91588,Tributary,615,FW_resident,m,2,,2.67726495726496,3,0.355428600410395
BH-91588,Tributary,615,FW_resident,m,2,,2.44213675213675,3,0.355428600410395
BH-91588,Tributary,615,FW_resident,m,2,,2.39333333333333,4,0.355428600410395
